key,en,es
newOrderForm.selectShipment,Select a shipment date,Selecciona una fecha de envío
newOrderForm.enterOriginFirst,Select a country of origin first,"En primero, selecciona un país de origen"
newOrderForm.tellUs,Tell us about the shipment you will be tracking,Cuéntanos del envío que seguirás
newOrderForm.deliveringTo,Delivering to,Entregando a
newOrderForm.deliveryNotice,FREE Delivery. The estimated delivery date is {{date}}. Order {{time}},Entrega GRATIS. La fecha esperada de entrega es {{date}} Pedido {{time}}
newOrderForm.trackingFrom,Choose a dispatch location. This is the address we will send the devices to and initiate tracking,Elegir una ubicación de despacho. Ésta es la dirección a la que enviaremos los dispositivos y iniciar el seguimiento
newOrderForm.trackingTo,Choose a delivery location. This is the address we will track the devices to and then terminate tracking,"Elegir una ubicación de entrega. Ésta es la dirección a la que seguiremos los dispositivos y entonces, terminaremos seguimiento"
newOrderForm.selectLocation,Select a location,Selecciona una ubicación
newOrderForm.origin,Shipment Country of Origin,País del origen del envío
newOrderForm.startingFrom,Shipment Origin,Origen del envío
newOrderForm.addAddress,Add Address,Añadir dirección
newOrderForm.saveAddress,Save Address,Guardar dirección
newOrderForm.addAndSetup,Now you can choose to assign any number of devices to this shipment. Each device can have a custom placement note (see image) so the recipient can place each device in your desired position within the goods being shipped. The Flare devices will be tracked from the Origin to the Destination of your shipment,"Ahora, puedes asignar qualquier número de dispositivos a este envío. Cada dispositivo puede tener una nota de colocación personalizada (ver imagen) para que el receptor pueda colocar cada dispositivo en tu posición deseada dentro del envío"
newOrderForm.addDevice,Add Another,Añadir otro
newOrderForm.pricePerFlare,Price per Flare,Precio por Flare
newOrderForm.total,Order Total,Total del pedido
newOrderForm.confirm,Confirm your Order,Confirma tu pedido
newOrderForm.orderCount,Your order is for {{value}} Flare devices,Tu pedido es de {{value}} dispositivos de Flare
newOrderForm.orderDelivery,Your devices will be delivered to,Tus dispositivos se entregarán a
newOrderForm.placeOrder,Place Order,Realizar un pedido
newOrderForm.orderSuccessful,Order successful,
user.userProfile,User Profile,Perfil del usuario
user.users,Users,Usuarios
user.disableOptionMessage,Are you sure you want to disable this user?,¿Estás seguro que quieres desactivar este usuario?
user.emailAlreadyUseMessage,"This email is already in use, please try a different email.","Este correo electrónico está en uso. Por favor, intenta otro correo electrónico."
user.error.currencyFailureMessage,Failed to update currency,No se pudo actualizar la moneda
user.exposeUserToOtherOrganization,Expose this user to other Organizations,Exponer este usuario a otras organizaciones
user.firstName,First Name,Nombre
user.location,Location,Ubicación
user.name,Name,Nombre
user.fullName,Full Name,Nombre Completo
user.newUser,New User,Nuevo Usuario
user.noUserAddedAlert,No users added yet,No se añadieron usuarios todavía
user.phoneNumber,Phone Number,Número de teléfono
user.role,Role,Papel
user.searchAlert,No users found that match {{userSearch}},No se encontraron usuarios que son iguales {{userSearch}}
user.searchPlaceholder,Search Users,Buscar Usuarios
user.status,Status,Estado
user.surname,Surname,Apellido
user.temperatureUnit,Temperature Units,Unidades de temperatura
user.degreesFahrenheit,Degrees Fahrenheit (°F),Fahrenheit (°F)
user.degreesCelsius,Degrees Celsius (°C),Celsius (°C)
user.toast.currencyUpdatedMessage,The currency has been successfully updated.,La moneda se ha actualizado con éxito.
user.toast.currencyUpdatedTitle,Updated Currency,Moneda actualizada
user.toast.disabledSuccessMessage,The user has been successfully disabled.,El usuario se ha desactivado con éxito.
user.toast.disabledTitle,Disabled User,Usuario desactivado
user.toast.newUserAddedMessage,New user has been added,Nuevo usuario se ha añadido
user.toast.updateTitle,Updated,Actualizado
user.toast.userProfileFetchError,Something went wrong while fetching for user profile,Algo salió mal mientras buscaba el perfil del usuario
user.toast.userUpdateMessage,User has been updated,Usuario se ha actualizado
user.visibleToOtherOrganizations,Visible to Other Organizations,Visible a otras organizaciones
validation.checkTypeValidationMessage,You must select a {{value}},Debes seleccionar un {{value}}
validation.dateCannotBeInPast,{{value}} cannot be in the past,{{value}} no puede ser en el pasado
validation.dateMustNotBeBefore,{{date2}} must not be before {{date1}},{{date2}} no debe ser antes de {{date1}}
validation.dateMustNotBeOnOrBefore,{{date2}} must not be on or before {{date1}},{{date2}} no debe ser en o antes de {{date1}}
validation.datesAreNotValid,Dates are not valid,Las fechas no son válidas
validation.emailValidFormatMessage,Email must be in a valid format,El correo debe ser de formato válido
validation.hsCodeValidationMessage,HS Code must be 6 to 10 numeric characters.,El código HS debe ser entre 6 a 10 carácteres numéricos.
validation.isNotValid,{{value}} is not valid,{{value}} no es válido
validation.maxLimitCharactersMessage,{{value}} must be at most {{limit}} characters,{{value}} debe ser como máximo {{limit}} carácteres
validation.minLimitCharactersMessage,{{value}} must be at least {{limit}} characters,{{value}} debe ser como mínimo {{limit}} carácteres
validation.mustOnlyContainLetters,must only contain letters,solo debe contener letras
validation.mustOnlyContainLettersAndNumbers,must only contain letters and numbers,solo debe contener letras y números
validation.mustOnlyContainNumbers,must only contain numbers,solo debe contener números
validation.seeAboveErrorMessage,Please see above for errors,"Por favor, ve arriba para ver los errores"
validation.skuMustBeDifferentMessage,SKU must be different from original product,La SKU debe ser diferente del producto original
validation.genericToastErrorMessage,Something went wrong,Algo salió mal
validation.dateBeforeToday,Selected date cannot be in the past,Esta fecha seleccionada no puede ser en el pasado
validation.genericRequired,Required field,Campo requerido
validation.required,{{value}} is required,{{value}} es requerido
validation.minLength,{{value}} must be at least {{n}} characters,{{value}} se debe ser al menos {{n}} caracteres
validation.maxLength,{{value}} cannot be more than {{n}} characters,{{value}} no se puede ser más que {{n}} caracteres
validation.validationRequiredMessage,{{value}} is required,{{value}} es necesario
location.companyTabTitle,,Ubicaciones
location.warning,,ADVERTENCIA
